"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"832ca2e16f82e7b04c1dc7e42a2cbe0c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"8ddd88e9a6a30707e59b125f5a677ef4"	"Bacteria"	NA	NA	NA	NA	NA	NA
"85689e8c5904a5b4f4c746ec65cf711a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"38521eab693efa73122e6d2787c0748a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b9079dd3c456fac943a35fba2b0394df"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f52f4eea18f2993ef775c07c856a30c8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ce5cd2702f9bd8b49fceb7ff3d7b51ff"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4a2f721f2da15b1ada7819048e9709b7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2b26b7f13313751e99443a78650d7e0d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d165921800bc4e662a0d2788034e91d3"	"Bacteria"	NA	NA	NA	NA	NA	NA
"41b2eda100abb63431ceff065b02d758"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9196f51321c26b6ee5c129399070906c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5396e561787b57cabd2716fb13a07104"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4b5ea9db714b78363abf57b68f4c5659"	"Bacteria"	NA	NA	NA	NA	NA	NA
"549f3e270013a9b1ff7bbcc532f2e5f1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"22f72ba893400e291cbcca537c42ed0d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b3b3c79e6f25e8b433e32cd3bbd05820"	"Bacteria"	NA	NA	NA	NA	NA	NA
"29937b9e350f61bed1d4e3c48f1bffec"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2652457d5ceab09a0f3c7b8ae8b24d68"	"Bacteria"	NA	NA	NA	NA	NA	NA
"55a00041177adb744a4c9fb5d0b109e4"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a11bcba7ce1b578c0338b43e499e500b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c4d840fdb672c018e6766dcbe815462e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d56ed72befc76d68fa5a9608a18fbf7d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d0bbd01b93509229c01828d60d1b2584"	"Bacteria"	NA	NA	NA	NA	NA	NA
"22c78d6930c11f186d0e979c8fa67585"	"Bacteria"	NA	NA	NA	NA	NA	NA
"370ebf58fa63f3be2e88f4ef230b6504"	"Bacteria"	NA	NA	NA	NA	NA	NA
"6050229cc8790ea5103bddeddf1475a0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d159bc62a32dc20b2710ca4182b0bcac"	"Bacteria"	NA	NA	NA	NA	NA	NA
"080a03a543b99d69a31ad80ef199df4d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"96e4bd78295a07eb0ac8f07267b12d75"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4609268dab7559a788594eecbee6278f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"8b9717f3206aa8d38674d0ff9209e593"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a4456c1e61bac4a3d7caf2149b25f412"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b79d193aff4f5a9bdbb77a0e0f564b86"	"Bacteria"	NA	NA	NA	NA	NA	NA
"11a5c896e2e82842e9f6824090318a74"	"Bacteria"	NA	NA	NA	NA	NA	NA
"36320cdcef945006e13616b219118dab"	"Bacteria"	NA	NA	NA	NA	NA	NA
"17158e2647974653d9e0e9a2a913328f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9f8e2dd4c87e52b1f122c18b9ba40cb0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"97f7a307199cf9ccc2f27c1b4c38b906"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3abbebb00a6862e68b8a7271281fb152"	"Bacteria"	NA	NA	NA	NA	NA	NA
"18ac7fd81e40a804032ee134f87359eb"	"Bacteria"	NA	NA	NA	NA	NA	NA
"241d27c4c0f0ec6294ede9ab747d23e7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e1306e463ba5e8a2157b470ea6464adc"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c9eb7ea109bffcddf49ea1ea8843621b"	"Bacteria"	NA	NA	NA	NA	NA	NA
